source_table,Unnamed: 0,% of Total Count of NCHAIII along Mental List,Count of NCHAIII,COUNT([NCHAIII])/TOTAL(COUNT([NCHAIII])) along academic performance list,COUNT([NCHAIII])/TOTAL(COUNT([NCHAIII])) along academic performance list.1,Unnamed: 1,1,2,3,4,5,Grand Total
Felt Nervous in Past 30 Days,None of the time,5%,510,,,,,,,,,
Felt Nervous in Past 30 Days,A little of the time,19%,"2,038",,,,,,,,,
Felt Nervous in Past 30 Days,Some of the time,39%,"4,224",,,,,,,,,
Felt Nervous in Past 30 Days,Most of the time,25%,"2,636",,,,,,,,,
Felt Nervous in Past 30 Days,All of the time,12%,"1,244",,,,,,,,,
Impact of Anxiety on Students,I did not experience this issue/not applicable,,"3,338",0.0,31%,,,,,,,
Impact of Anxiety on Students,"I have experienced this issue, but my academics have not been affected",,"3,002",0.0,28%,,,,,,,
Impact of Anxiety on Students,I have experienced this issue and it negatively impacted my performance in a class,,"3,663",0.0,34%,,,,,,,
Impact of Anxiety on Students,I have experienced this issue and it delayed progress towards my degree,,653,0.0,6%,,,,,,,
Impact of Depression on Students,I did not experience this issue/not applicable,,"6,007",1.0,56%,,,,,,,
Impact of Depression on Students,"I have experienced this issue, but my academics have not been affected",,"1,589",0.0,15%,,,,,,,
Impact of Depression on Students,I have experienced this issue and it negatively impacted my performance in a class,,"2,488",0.0,23%,,,,,,,
Impact of Depression on Students,I have experienced this issue and it delayed progress towards my degree,,626,0.0,6%,,,,,,,
Impact of Stress on Students,I did not experience this issue/not applicable,,"1,877",0.0,18%,,,,,,,
Impact of Stress on Students,"I have experienced this issue, but my academics have not been affected",,"3,400",0.0,32%,,,,,,,
Impact of Stress on Students,I have experienced this issue and it negatively impacted my performance in a class,,"4,639",0.0,43%,,,,,,,
Impact of Stress on Students,I have experienced this issue and it delayed progress towards my degree,,799,0.0,7%,,,,,,,
UC Academic Experiences,Family responsibilities,,,,,Calculation1 along Pivot Field Values,26%,27%,29%,13%,5%,100%
