source_table,question,response,response_option,scale,value_type,value
UC Academic Experiences,Family responsibilities,,1,1-5,percent,0.26
UC Academic Experiences,Family responsibilities,,1,1-5,count,5523.0
UC Academic Experiences,"Feeling depressed, stressed, or upset",,1,1-5,percent,0.16
UC Academic Experiences,"Feeling depressed, stressed, or upset",,1,1-5,count,3461.0
UC Academic Experiences,"Going hungry, not having enough food",,1,1-5,percent,0.64
UC Academic Experiences,"Going hungry, not having enough food",,1,1-5,count,13670.0
UC Academic Experiences,Inability to concentrate on my work,,1,1-5,percent,0.19
UC Academic Experiences,Inability to concentrate on my work,,1,1-5,count,4101.0
UC Academic Experiences,Inadequate study skills,,1,1-5,percent,0.29
UC Academic Experiences,Inadequate study skills,,1,1-5,count,6087.0
UC Academic Experiences,"Inconsistent access to housing, or homelessness",,1,1-5,percent,0.84
UC Academic Experiences,"Inconsistent access to housing, or homelessness",,1,1-5,count,17962.0
UC Academic Experiences,"Job responsibilities (e.g., paid employment)",,1,1-5,percent,0.4
UC Academic Experiences,"Job responsibilities (e.g., paid employment)",,1,1-5,count,8527.0
UC Academic Experiences,Military deployment,,1,1-5,percent,0.91
UC Academic Experiences,Military deployment,,1,1-5,count,19454.0
UC Academic Experiences,"Other responsibilities (e.g., athletics, clubs, internship)",,1,1-5,percent,0.3
UC Academic Experiences,"Other responsibilities (e.g., athletics, clubs, internship)",,1,1-5,count,6320.0
UC Academic Experiences,Physical illness or condition,,1,1-5,percent,0.42
UC Academic Experiences,Physical illness or condition,,1,1-5,count,9069.0
UC Academic Experiences,Poor study behaviors,,1,1-5,percent,0.17
UC Academic Experiences,Poor study behaviors,,1,1-5,count,3583.0
UC Academic Experiences,Poor study environment,,1,1-5,percent,0.24
UC Academic Experiences,Poor study environment,,1,1-5,count,5166.0
UC Academic Experiences,Reluctance to ask for academic help when I need it,,1,1-5,percent,0.31
UC Academic Experiences,Reluctance to ask for academic help when I need it,,1,1-5,count,6651.0
UC Academic Experiences,Weak English skills,,1,1-5,percent,0.77
UC Academic Experiences,Weak English skills,,1,1-5,count,16438.0
UC Academic Experiences,Weak math skills,,1,1-5,percent,0.53
UC Academic Experiences,Weak math skills,,1,1-5,count,11335.0
UC Academic Experiences,Other,,1,1-5,percent,0.75
UC Academic Experiences,Other,,1,1-5,count,4628.0
UC Academic Experiences,Family responsibilities,,2,1-5,percent,0.27
UC Academic Experiences,Family responsibilities,,2,1-5,count,5814.0
UC Academic Experiences,"Feeling depressed, stressed, or upset",,2,1-5,percent,0.21
UC Academic Experiences,"Feeling depressed, stressed, or upset",,2,1-5,count,4597.0
UC Academic Experiences,"Going hungry, not having enough food",,2,1-5,percent,0.19
UC Academic Experiences,"Going hungry, not having enough food",,2,1-5,count,3968.0
UC Academic Experiences,Inability to concentrate on my work,,2,1-5,percent,0.2
UC Academic Experiences,Inability to concentrate on my work,,2,1-5,count,4253.0
UC Academic Experiences,Inadequate study skills,,2,1-5,percent,0.25
UC Academic Experiences,Inadequate study skills,,2,1-5,count,5326.0
UC Academic Experiences,"Inconsistent access to housing, or homelessness",,2,1-5,percent,0.07
UC Academic Experiences,"Inconsistent access to housing, or homelessness",,2,1-5,count,1456.0
UC Academic Experiences,"Job responsibilities (e.g., paid employment)",,2,1-5,percent,0.17
UC Academic Experiences,"Job responsibilities (e.g., paid employment)",,2,1-5,count,3683.0
UC Academic Experiences,Military deployment,,2,1-5,percent,0.03
UC Academic Experiences,Military deployment,,2,1-5,count,642.0
UC Academic Experiences,"Other responsibilities (e.g., athletics, clubs, internship)",,2,1-5,percent,0.25
UC Academic Experiences,"Other responsibilities (e.g., athletics, clubs, internship)",,2,1-5,count,5303.0
UC Academic Experiences,Physical illness or condition,,2,1-5,percent,0.29
UC Academic Experiences,Physical illness or condition,,2,1-5,count,6131.0
UC Academic Experiences,Poor study behaviors,,2,1-5,percent,0.21
UC Academic Experiences,Poor study behaviors,,2,1-5,count,4457.0
UC Academic Experiences,Poor study environment,,2,1-5,percent,0.3
UC Academic Experiences,Poor study environment,,2,1-5,count,6442.0
UC Academic Experiences,Reluctance to ask for academic help when I need it,,2,1-5,percent,0.23
UC Academic Experiences,Reluctance to ask for academic help when I need it,,2,1-5,count,4998.0
UC Academic Experiences,Weak English skills,,2,1-5,percent,0.11
UC Academic Experiences,Weak English skills,,2,1-5,count,2274.0
UC Academic Experiences,Weak math skills,,2,1-5,percent,0.2
UC Academic Experiences,Weak math skills,,2,1-5,count,4176.0
UC Academic Experiences,Other,,2,1-5,percent,0.05
UC Academic Experiences,Other,,2,1-5,count,313.0
UC Academic Experiences,Family responsibilities,,3,1-5,percent,0.29
UC Academic Experiences,Family responsibilities,,3,1-5,count,6142.0
UC Academic Experiences,"Feeling depressed, stressed, or upset",,3,1-5,percent,0.32
UC Academic Experiences,"Feeling depressed, stressed, or upset",,3,1-5,count,6780.0
UC Academic Experiences,"Going hungry, not having enough food",,3,1-5,percent,0.12
UC Academic Experiences,"Going hungry, not having enough food",,3,1-5,count,2632.0
UC Academic Experiences,Inability to concentrate on my work,,3,1-5,percent,0.34
UC Academic Experiences,Inability to concentrate on my work,,3,1-5,count,7177.0
UC Academic Experiences,Inadequate study skills,,3,1-5,percent,0.29
UC Academic Experiences,Inadequate study skills,,3,1-5,count,6123.0
UC Academic Experiences,"Inconsistent access to housing, or homelessness",,3,1-5,percent,0.06
UC Academic Experiences,"Inconsistent access to housing, or homelessness",,3,1-5,count,1265.0
UC Academic Experiences,"Job responsibilities (e.g., paid employment)",,3,1-5,percent,0.24
UC Academic Experiences,"Job responsibilities (e.g., paid employment)",,3,1-5,count,5161.0
